i j mp formula
1 3 mp-12411 Li2ZnGe
2 1 mp-12411 Li2ZnGe
2 2 mp-12411 Li2ZnGe
2 3 mp-12411 Li2ZnGe
3 1 mp-12411 Li2ZnGe
3 2 mp-12411 Li2ZnGe
3 3 mp-12411 Li2ZnGe
4 4 mp-12411 Li2ZnGe
5 5 mp-12411 Li2ZnGe
6 6 mp-12411 Li2ZnGe
1 1 mp-530399 LiAl5O8
1 2 mp-530399 LiAl5O8
1 3 mp-530399 LiAl5O8
2 1 mp-530399 LiAl5O8
2 2 mp-530399 LiAl5O8
2 3 mp-530399 LiAl5O8
3 1 mp-530399 LiAl5O8
3 2 mp-530399 LiAl5O8
3 3 mp-530399 LiAl5O8
4 4 mp-530399 LiAl5O8
5 5 mp-530399 LiAl5O8
6 6 mp-530399 LiAl5O8
1 1 mp-30816 Li2AlPd
1 2 mp-30816 Li2AlPd
1 3 mp-30816 Li2AlPd
2 1 mp-30816 Li2AlPd
2 2 mp-30816 Li2AlPd
2 3 mp-30816 Li2AlPd
3 1 mp-30816 Li2AlPd
3 2 mp-30816 Li2AlPd
3 3 mp-30816 Li2AlPd
4 4 mp-30816 Li2AlPd
5 5 mp-30816 Li2AlPd
6 6 mp-30816 Li2AlPd
1 1 mp-3158 Li2SbPt
1 2 mp-3158 Li2SbPt
1 3 mp-3158 Li2SbPt
2 1 mp-3158 Li2SbPt
2 2 mp-3158 Li2SbPt
2 3 mp-3158 Li2SbPt
3 1 mp-3158 Li2SbPt
3 2 mp-3158 Li2SbPt
3 3 mp-3158 Li2SbPt
4 4 mp-3158 Li2SbPt
5 5 mp-3158 Li2SbPt
6 6 mp-3158 Li2SbPt
1 1 mp-30821 LiAl2Rh
1 2 mp-30821 LiAl2Rh
1 3 mp-30821 LiAl2Rh
2 1 mp-30821 LiAl2Rh
2 2 mp-30821 LiAl2Rh
2 3 mp-30821 LiAl2Rh
3 1 mp-30821 LiAl2Rh
3 2 mp-30821 LiAl2Rh
3 3 mp-30821 LiAl2Rh
4 4 mp-30821 LiAl2Rh
5 5 mp-30821 LiAl2Rh
6 6 mp-30821 LiAl2Rh
1 1 mp-9124 LiZnAs
1 2 mp-9124 LiZnAs
1 3 mp-9124 LiZnAs
2 1 mp-9124 LiZnAs
2 2 mp-9124 LiZnAs
2 3 mp-9124 LiZnAs
3 1 mp-9124 LiZnAs
3 2 mp-9124 LiZnAs
3 3 mp-9124 LiZnAs
4 4 mp-9124 LiZnAs
5 5 mp-9124 LiZnAs
6 6 mp-9124 LiZnAs
1 1 mp-672340 LiIn2Ru
1 2 mp-672340 LiIn2Ru
1 3 mp-672340 LiIn2Ru
2 1 mp-672340 LiIn2Ru
2 2 mp-672340 LiIn2Ru
2 3 mp-672340 LiIn2Ru
3 1 mp-672340 LiIn2Ru
3 2 mp-672340 LiIn2Ru
3 3 mp-672340 LiIn2Ru
4 4 mp-672340 LiIn2Ru
5 5 mp-672340 LiIn2Ru
6 6 mp-672340 LiIn2Ru
1 1 mp-30648 LiMg2Ga
1 2 mp-30648 LiMg2Ga
1 3 mp-30648 LiMg2Ga
2 1 mp-30648 LiMg2Ga
2 2 mp-30648 LiMg2Ga
2 3 mp-30648 LiMg2Ga
3 1 mp-30648 LiMg2Ga
3 2 mp-30648 LiMg2Ga
3 3 mp-30648 LiMg2Ga
4 4 mp-30648 LiMg2Ga
5 5 mp-30648 LiMg2Ga
6 6 mp-30648 LiMg2Ga
1 1 mp-30817 LiAl2Pd
1 2 mp-30817 LiAl2Pd
1 3 mp-30817 LiAl2Pd
2 1 mp-30817 LiAl2Pd
2 2 mp-30817 LiAl2Pd
2 3 mp-30817 LiAl2Pd
3 1 mp-30817 LiAl2Pd
3 2 mp-30817 LiAl2Pd
3 3 mp-30817 LiAl2Pd
4 4 mp-30817 LiAl2Pd
5 5 mp-30817 LiAl2Pd
6 6 mp-30817 LiAl2Pd
1 1 mp-12564 LiSbAu
1 2 mp-12564 LiSbAu
1 3 mp-12564 LiSbAu
2 1 mp-12564 LiSbAu
2 2 mp-12564 LiSbAu
2 3 mp-12564 LiSbAu
3 1 mp-12564 LiSbAu
3 2 mp-12564 LiSbAu
3 3 mp-12564 LiSbAu
4 4 mp-12564 LiSbAu
5 5 mp-12564 LiSbAu
6 6 mp-12564 LiSbAu
1 1 mp-11512 LiAl2Ir
1 2 mp-11512 LiAl2Ir
1 3 mp-11512 LiAl2Ir
2 1 mp-11512 LiAl2Ir
2 2 mp-11512 LiAl2Ir
2 3 mp-11512 LiAl2Ir
3 1 mp-11512 LiAl2Ir
3 2 mp-11512 LiAl2Ir
3 3 mp-11512 LiAl2Ir
4 4 mp-11512 LiAl2Ir
5 5 mp-11512 LiAl2Ir
6 6 mp-11512 LiAl2Ir
1 1 mp-16343 LiInGe
1 2 mp-16343 LiInGe
1 3 mp-16343 LiInGe
2 1 mp-16343 LiInGe
2 2 mp-16343 LiInGe
2 3 mp-16343 LiInGe
3 1 mp-16343 LiInGe
3 2 mp-16343 LiInGe
3 3 mp-16343 LiInGe
4 4 mp-16343 LiInGe
5 5 mp-16343 LiInGe
6 6 mp-16343 LiInGe
1 1 mp-30819 LiAl2Pt
1 2 mp-30819 LiAl2Pt
1 3 mp-30819 LiAl2Pt
2 1 mp-30819 LiAl2Pt
2 2 mp-30819 LiAl2Pt
2 3 mp-30819 LiAl2Pt
3 1 mp-30819 LiAl2Pt
3 2 mp-30819 LiAl2Pt
3 3 mp-30819 LiAl2Pt
4 4 mp-30819 LiAl2Pt
5 5 mp-30819 LiAl2Pt
6 6 mp-30819 LiAl2Pt
1 1 mp-36111 LiMgP
1 2 mp-36111 LiMgP
1 3 mp-36111 LiMgP
2 1 mp-36111 LiMgP
2 2 mp-36111 LiMgP
2 3 mp-36111 LiMgP
3 1 mp-36111 LiMgP
3 2 mp-36111 LiMgP
3 3 mp-36111 LiMgP
4 4 mp-36111 LiMgP
5 5 mp-36111 LiMgP
6 6 mp-36111 LiMgP
1 1 mp-37906 LiMgN
1 2 mp-37906 LiMgN
1 3 mp-37906 LiMgN
2 1 mp-37906 LiMgN
2 2 mp-37906 LiMgN
2 3 mp-37906 LiMgN
3 1 mp-37906 LiMgN
3 2 mp-37906 LiMgN
3 3 mp-37906 LiMgN
4 4 mp-37906 LiMgN
5 5 mp-37906 LiMgN
6 6 mp-37906 LiMgN
1 1 mp-30404 Li2SbAu
1 2 mp-30404 Li2SbAu
1 3 mp-30404 Li2SbAu
2 1 mp-30404 Li2SbAu
2 2 mp-30404 Li2SbAu
2 3 mp-30404 Li2SbAu
3 1 mp-30404 Li2SbAu
3 2 mp-30404 Li2SbAu
3 3 mp-30404 Li2SbAu
4 4 mp-30404 Li2SbAu
5 5 mp-30404 Li2SbAu
6 6 mp-30404 Li2SbAu
1 1 mp-570213 LiMgBi
1 2 mp-570213 LiMgBi
1 3 mp-570213 LiMgBi
2 1 mp-570213 LiMgBi
2 2 mp-570213 LiMgBi
2 3 mp-570213 LiMgBi
3 1 mp-570213 LiMgBi
3 2 mp-570213 LiMgBi
3 3 mp-570213 LiMgBi
